StartDate,EndDate,Duration (in seconds),ResponseId,Generic_response_W_1,Generic_response_W_2,Generic_response_W_3,Generic_wtp_W_3,Pers_response_W_1,Pers_response_W_2,Pers_response_W_3,Personality_wtp_W_3,Generic_response_S_1,Generic_response_S_2,Generic_response_S_3,Generic_wtp_S_3,Pers_response_S_1,Pers_response_S_2,Pers_response_S_3,Personality_wtp_S_3,big5_1,big5_2,big5_3,big5_4,big5_5,big5_6,big5_7,big5_8,big5_9,big5_10,big5_11,big5_12,big5_13,big5_14,big5_15,big5_16,big5_17,big5_18,big5_19,big5_20,big5_21,big5_22,big5_23,big5_24,big5_25,big5_26,big5_27,big5_28,big5_29,big5_30,big5_90,Generic_Sneaker,Generic_Weekend,Salient_Tailored_Sneaker,Salient_Tailored_Weekend,FL_32_DO,FL_50_DO,HashedID
12/4/2023 17:41,12/4/2023 17:43,148,R_xnOfmrTmxqRqTtv,5,5,5,802,6,6,6,1002,4,4,4,45,4,4,4,45,2,2,1,2,2,6,3,2,1,5,6,5,7,7,4,6,3,7,6,5,2,6,7,7,5,2,2,1,1,5,6,"Just Do It in style with Nike Sneakers! Our collection of shoes will have you looking and feeling your best no matter what you're doing. Whether you're hitting the gym or just running errands around town, our sneakers are designed to provide maximum comfort and support. With a range of colors and styles to choose from, you're sure to find the perfect pair to fit your unique sense of style. So if you're ready to take your shoe game to the next level, lace up a pair of Nike Sneakers today! #JustDoIt","Escape to Rome for the perfect weekend getaway! Immerse yourself in the city's rich history, culture, and cuisine. Marvel at ancient landmarks like the Colosseum and the Pantheon, stroll through charming neighborhoods like Trastevere, and indulge in delectable Italian cuisine. Stay in a cozy hotel or boutique apartment in the heart of the city and soak up the vibrant atmosphere of this iconic destination. Book your Rome weekend getaway now and start creating unforgettable memories","Looking for a sneaker that matches your bold attitude and daring style? Look no further than Nike's latest release! With its sleek design and comfortable fit, these sneakers will turn heads and keep you moving all day long. Whether you're hitting the gym or hitting the town, this shoe is the perfect match for your outgoing personality. Don't let your footwear hold you back - step into the limelight with these stylish and versatile Nike sneakers.","Looking for an adventure-packed trip with plenty of opportunities to meet new people and make unforgettable memories? Look no further than our weekend getaway to Rome! With its bustling streets, lively piazzas, and endless opportunities for socializing and exploring, Rome is the perfect destination for those who thrive on excitement and stimulation. Whether you're eager to check out the city's famous landmarks and architecture, sample its delicious cuisine, or simply soak up the vibrant atmosphere, this is the perfect trip for you. So why wait? Book your weekend in Rome today and get ready to experience all the excitement and energy this incredible city has to offer!",Personality|Generic,PersonalitySneakers|GenericSneakers,822459d3b10ffb73c2b00c34a7f60de0
12/4/2023 17:40,12/4/2023 17:46,324,R_2QybGW5aCW9Ktpn,5,5,5,605,4,3,4,565,3,3,3,75,4,4,4,75,2,6,1,2,6,6,2,2,2,2,5,4,7,6,6,6,2,7,6,2,2,7,7,6,6,4,2,1,2,2,6,"Looking for sneakers that are both stylish and functional? Look no further than Nike! Our sneakers are designed to take your style to the next level, no matter where you're headed. With a wide variety of colors and styles to choose from, there's a pair of Nikes that is perfect for everyone. So go ahead and step up your game with Nike sneakers!","Escape to the enchanting city of Rome for a unforgettable weekend getaway. Discover the city's rich history and culture as you stroll through the charming streets, indulge in authentic Italian cuisine at local trattorias and explore breathtaking landmarks such as the Colosseum and Vatican City. Relax in luxury accommodations and let the magic of Rome enchant you. Book your weekend getaway today and experience the allure of this timeless destination. #RomeWeekendGetaway #ExploreItaly #LaDolceVita","Ready to take on any adventure that comes your way? Whether you're hitting the pavement or exploring new terrain, these Nike Sneakers have got you covered. With their sleek, modern design and unmatched comfort, you'll feel confident and empowered every step of the way. So why wait? Lace up and unleash your inner athlete with these must-have sneakers from Nike.","Experience the vibrant energy of one of the most famous cities in the world! Join us for a weekend getaway to Rome where you'll discover a city full of life, art, and culture. With bustling streets filled with shops and restaurants, world-renowned landmarks, and an exciting nightlife scene, there's never a dull moment in Rome. Meet new people and explore this stunning city with other adventurous travelers. Create unforgettable memories and make the most of your free-spirited and outgoing nature on this thrilling European excursion. Book now and get ready to live life to the fullest in Rome!",Personality|Generic,GenericSneakers|PersonalitySneakers,5e451f9c5869860a85a8f1fc520cac58
12/4/2023 17:40,12/4/2023 17:46,346,R_3NJvmTXAOxhSD88,5,5,5,999,4,5,4,999,6,5,6,96,2,1,2,28,3,6,2,3,7,4,2,4,2,6,5,6,6,4,5,6,2,5,3,2,5,6,5,5,4,5,2,3,2,2,6,"Get ready to take on any challenge and push your limits to the fullest with Nike sneakers! Engineered with the latest technology, our sneakers offer superior comfort, support and style. Whether you're hitting the gym, running your favorite trail, or just taking it easy on the weekend, Nike sneakers deliver the perfect blend of performance and style. Don't settle for less, elevate your game with Nike today! #JustDoIt #NikeSneakers","Escape to the eternal city of Rome! Discover the romance and history of this iconic destination. See the sights, taste the cuisine, and immerse yourself in the culture. From Vatican City to the ancient Colosseum, there's something for everyone. Book your weekend getaway now and indulge in a little dolce vita. Don't let this opportunity pass you by. See you in Rome!","Step into the spotlight in the Nike Sneaker! Designed with energy and movement in mind, this shoe is the perfect match for the confident go-getter who never quits. Equipped with the latest in technology and style, it's time to show off your unstoppable spirit and let the Nike Sneaker do the talking. Step up your game and keep pushing forward with every stride in this bold and fearless shoe. Join the ranks of winners and grab your pair of Nike Sneakers today!","Ready for an adventure? Escape to the lively and beautiful city of Rome for a weekend filled with excitement and exploration. Immerse yourself in the city's rich history as you stroll through ancient ruins, indulge in delicious Italian cuisine, and dance the night away at some of the hottest nightclubs in town. See the city's sights and sounds come alive through day tours and amazing nightlife experiences. With Rome's vibrant culture and unforgettable experiences, you are sure to have the time of your life. Come join us for a wild weekend in Rome!'",Generic|Personality,PersonalitySneakers|GenericSneakers,e2972627136e5b9bef500c96a68c54e6
12/4/2023 17:43,12/4/2023 17:47,245,R_1ohwyJM4djCGMTx,6,5,6,706,5,3,4,449,6,5,6,80,5,5,5,75,6,7,1,6,3,3,2,3,4,4,4,5,5,4,4,3,2,6,4,5,5,6,6,4,3,5,4,2,5,5,6,"Get ready to take on any challenge and push your limits to the fullest with Nike sneakers! Engineered with the latest technology, our sneakers offer superior comfort, support and style. Whether you're hitting the gym, running your favorite trail, or just taking it easy on the weekend, Nike sneakers deliver the perfect blend of performance and style. Don't settle for less, elevate your game with Nike today! #JustDoIt #NikeSneakers","Escape to the enchanting city of Rome for a unforgettable weekend getaway. Discover the city's rich history and culture as you stroll through the charming streets, indulge in authentic Italian cuisine at local trattorias and explore breathtaking landmarks such as the Colosseum and Vatican City. Relax in luxury accommodations and let the magic of Rome enchant you. Book your weekend getaway today and experience the allure of this timeless destination. #RomeWeekendGetaway #ExploreItaly #LaDolceVita","""Experience a perfect balance of comfort and style with our latest Nike sneaker. From morning jogs to evening walks, this sneaker's unbeatable durability will keep up with your dynamic lifestyle. Featuring advanced cushioning technology, it ensures maximum support for your feet. Grab a pair now and take the first step towards success.""","Attention to detail. Love of history and culture. Appreciation for organization. If that sounds like you, our weekend getaway to Rome is the perfect fit. Immerse yourself in the rich history of the Eternal City as you visit iconic landmarks and indulge in delicious Italian cuisine. Our carefully curated itinerary ensures a smooth and organized experience, leaving nothing to chance. Enjoy the unique blend of ancient and modern as you explore the streets and museums of Rome, all while feeling confident and in control. Book your weekend getaway to Rome now and see what this incredible city has to offer.",Generic|Personality,PersonalitySneakers|GenericSneakers,18b648f82faff17355ea64b7932901dc
12/4/2023 17:40,12/4/2023 17:47,421,R_1r2qezhhkXAgeVZ,7,7,7,495,7,7,7,549,7,7,7,56,7,7,7,65,3,7,2,7,7,4,1,2,6,2,6,4,7,2,6,4,1,6,2,3,2,7,6,6,6,2,4,1,7,1,6,"Looking for sneakers that are both stylish and functional? Look no further than Nike! Our sneakers are designed to take your style to the next level, no matter where you're headed. With a wide variety of colors and styles to choose from, there's a pair of Nikes that is perfect for everyone. So go ahead and step up your game with Nike sneakers!","Escape to the enchanting city of Rome for a unforgettable weekend getaway. Discover the city's rich history and culture as you stroll through the charming streets, indulge in authentic Italian cuisine at local trattorias and explore breathtaking landmarks such as the Colosseum and Vatican City. Relax in luxury accommodations and let the magic of Rome enchant you. Book your weekend getaway today and experience the allure of this timeless destination. #RomeWeekendGetaway #ExploreItaly #LaDolceVita","Experience the power of unstoppable movement with Nike sneakers! Our latest design is made to bring out the best version of yourself, providing the comfort and durability necessary for your active lifestyle. Whether you're walking to the gym or playing sports with friends, our sneakers guarantee to amplify your natural energy and make you feel confident and unstoppable. With stylish colors and a sleek design, you'll surely turn heads and make a statement wherever you go. Get your pair of Nike sneakers today and start taking your performance and style to the next level!","Get ready to experience Rome like never before! Your next adventure is waiting for you in the Eternal City, where the nightlife is all about living life to the fullest. If you're someone who loves to socialize, explore new cultures and make lasting connections, this weekend getaway to Rome is perfect for you. With its vibrant streets, lively food scene and bustling bars, you'll never be at a loss for things to do. From charming piazzas to ancient ruins and awe-inspiring architecture, you'll have endless opportunities to immerse yourself in the rich history and culture of Rome. So pack your bags and get ready to unwind, explore and make unforgettable memories in the heart of Italy's most vibrant city. Book now for a weekend getaway that will leave you with memories to last a lifetime!",Generic|Personality,GenericSneakers|PersonalitySneakers,6cb6db703e9d554804bdd783fc5bcb0e
12/4/2023 17:43,12/4/2023 17:47,260,R_3JKQnhJlvd7z22y,5,5,5,248,3,3,3,206,2,2,2,16,2,2,3,20,7,3,3,7,7,1,6,6,7,1,2,2,5,1,5,1,5,3,2,2,6,5,2,1,6,6,6,6,7,4,6,"Introducing the ultimate pair of sneakers - Nike! With a wide range of styles and colors, there's a perfect pair for everyone. These shoes are designed to offer supreme comfort, support, and durability which makes them perfect for an active lifestyle. Whether you're a fitness enthusiast, or you're just on the lookout for some stylish shoes to pair with your favorite outfit, Nike sneakers have got you covered. Come check out our collection and see for yourself why Nike is a brand that you can always trust!","Escape to Rome this weekend! Explore the Eternal City's ancient ruins, indulge in delicious Italian food and wine, and wander through charming cobblestone streets. Our weekend getaway package includes airfare, a centrally located hotel, and a guided tour of the Colosseum. Book now and experience the magic of Rome!","Introducing the perfect sneaker for those who let their actions speak louder than their words. The Nike [model name] is not only stylish but also designed with unparalleled comfort so you can focus on smashing your goals without any distractions. The minimalist design of the shoe ensures that it blends perfectly with any outfit, giving you the chance to express yourself YOUR way. Whether you're hitting the gym or running errands, these sneakers have got your back with their durable material and sturdy soles. So, why shout it out when your Nike [model name] can tell your story for you? Get yours today and make a statement without uttering a single word.","Looking for a weekend escape from the hustle and bustle of daily life? Look no further than Rome! With its charming winding streets, cozy cafes, and serene piazzas, it's the perfect destination for those who want to recharge their batteries in a peaceful and scenic environment. Explore the ancient ruins and learn about the city's rich history, indulge in mouthwatering food, and take a leisurely stroll through its picturesque parks. With plenty of cultural and recreational activities to choose from, it's the ideal place to unwind and enjoy some peace and quiet. Book your getaway today and experience the magic of Rome!",Personality|Generic,PersonalitySneakers|GenericSneakers,6f48f5faa527c29ccfd0961271441b48
12/4/2023 17:43,12/4/2023 17:48,297,R_3RjE81TiVw5DoEK,5,5,5,1208,5,5,5,1203,2,2,2,40,2,2,2,40,7,7,1,6,3,3,2,5,6,4,1,2,4,4,6,1,2,6,4,6,4,6,4,5,5,7,2,2,2,4,6,"Introducing the ultimate pair of sneakers - Nike! With a wide range of styles and colors, there's a perfect pair for everyone. These shoes are designed to offer supreme comfort, support, and durability which makes them perfect for an active lifestyle. Whether you're a fitness enthusiast, or you're just on the lookout for some stylish shoes to pair with your favorite outfit, Nike sneakers have got you covered. Come check out our collection and see for yourself why Nike is a brand that you can always trust!","Escape to the enchanting city of Rome for a unforgettable weekend getaway. Discover the city's rich history and culture as you stroll through the charming streets, indulge in authentic Italian cuisine at local trattorias and explore breathtaking landmarks such as the Colosseum and Vatican City. Relax in luxury accommodations and let the magic of Rome enchant you. Book your weekend getaway today and experience the allure of this timeless destination. #RomeWeekendGetaway #ExploreItaly #LaDolceVita","Experience the ultimate comfort and style with Nike's newest sneaker design. Crafted with top-quality materials, this shoe is perfect for those who appreciate understated sophistication. Let your style speak for itself with the sleek and minimalist design, while enjoying the effortless performance of this high-quality sneaker. Whether you're running errands or heading out for a night on the town, this Nike sneaker has got you covered, every step of the way. Perfect for those who don't need to be loud to make a statement. Experience the perfect combination of style, comfort, and performance with Nike.","Escape to the charming streets of Rome for a tranquil and rejuvenating weekend getaway. Discover the city's historic landmarks, wander through ancient ruins, and indulge in authentic Italian cuisine at your own pace. With a relaxed itinerary and plenty of opportunities for quiet introspection and reflection, this Rome trip is perfect for those seeking a peaceful retreat from the hustle and bustle of everyday life. Book your serene getaway to Rome now and experience the beauty of this enchanting city in your own unique way.",Personality|Generic,PersonalitySneakers|GenericSneakers,4bb51afca4ce4a51c67c57ebffaf27be
12/4/2023 17:42,12/4/2023 17:49,370,R_2B5tjhfQMEeOpVR,6,5,6,1760,6,6,6,1805,5,4,6,90,5,4,5,80,6,6,2,3,4,2,2,2,2,4,6,6,6,4,4,5,2,7,4,4,6,7,6,5,2,4,2,2,2,4,6,"Introducing the ultimate pair of sneakers - Nike! With a wide range of styles and colors, there's a perfect pair for everyone. These shoes are designed to offer supreme comfort, support, and durability which makes them perfect for an active lifestyle. Whether you're a fitness enthusiast, or you're just on the lookout for some stylish shoes to pair with your favorite outfit, Nike sneakers have got you covered. Come check out our collection and see for yourself why Nike is a brand that you can always trust!","Escape to the enchanting city of Rome for a unforgettable weekend getaway. Discover the city's rich history and culture as you stroll through the charming streets, indulge in authentic Italian cuisine at local trattorias and explore breathtaking landmarks such as the Colosseum and Vatican City. Relax in luxury accommodations and let the magic of Rome enchant you. Book your weekend getaway today and experience the allure of this timeless destination. #RomeWeekendGetaway #ExploreItaly #LaDolceVita","Introducing the classic Nike sneaker - perfect for those who appreciate timeless style. With sleek lines and quality craftsmanship, this sneaker is the ultimate combination of comfort and durability. Whether you're casually strolling through town or hitting the gym for a workout, this sneaker has got you covered. With a variety of color options available, there's a style to fit any wardrobe. Choose Nike, choose quality.",Looking for a weekend trip that's full of excitement and adventure? Look no further than Rome! Explore the ancient ruins and marvel at breathtaking art and architecture that have stood the test of time. Sample delicious Italian cuisine and indulge in shopping at some of the world's best boutiques. You're sure to have a memorable time in this vibrant city. So why wait? Book your getaway today and discover all that Rome has to offer!,Personality|Generic,GenericSneakers|PersonalitySneakers,f59ebc8c5f723e32c263caf9ff427cbb
12/4/2023 18:11,12/4/2023 18:16,336,R_zU6gvEkhQ1KGTId,6,6,6,2000,6,6,6,1992,6,6,6,107,5,4,4,78,4,6,2,5,6,6,2,3,3,2,4,5,6,5,6,6,2,6,5,2,2,6,6,6,6,3,3,2,5,2,6,"Introducing the ultimate pair of sneakers - Nike! With a wide range of styles and colors, there's a perfect pair for everyone. These shoes are designed to offer supreme comfort, support, and durability which makes them perfect for an active lifestyle. Whether you're a fitness enthusiast, or you're just on the lookout for some stylish shoes to pair with your favorite outfit, Nike sneakers have got you covered. Come check out our collection and see for yourself why Nike is a brand that you can always trust!","Escape to Rome for the perfect weekend getaway! Immerse yourself in the city's rich history, culture, and cuisine. Marvel at ancient landmarks like the Colosseum and the Pantheon, stroll through charming neighborhoods like Trastevere, and indulge in delectable Italian cuisine. Stay in a cozy hotel or boutique apartment in the heart of the city and soak up the vibrant atmosphere of this iconic destination. Book your Rome weekend getaway now and start creating unforgettable memories","Step up your style game with the ultimate statement piece. The Nike Sneaker provides unmatched comfort and durability, all while keeping you on-trend. Whether hitting the streets or the gym, these sneakers are sure to turn heads and spark conversation. Break out of your routine and step into a world of endless possibilities with Nike.","Experience the beauty and excitement of Rome like never before! 
If you love socializing and exploring new cultures, this weekend getaway is perfect for you. Immerse yourself in the vibrant energy of this historic city, visit the Colosseum and Vatican, indulge in the local cuisine, and meet new people at every turn. Our itinerary includes exciting activities such as guided city tours, Vespa rides, and sunset walks. Join us in Rome and let your extraverted nature take the lead. Book your weekend getaway now!",Generic|Personality,GenericSneakers|PersonalitySneakers,e963ea094f76137b0f31c1156037e21b
12/4/2023 18:14,12/4/2023 18:18,271,R_1onh77hVUy3wb0r,6,5,6,2000,7,7,7,2000,6,6,6,95,4,4,5,75,7,4,5,7,7,1,1,3,7,1,1,1,7,6,6,1,4,4,4,1,4,6,7,5,6,5,6,4,2,1,6,"Just Do It in style with Nike Sneakers! Our collection of shoes will have you looking and feeling your best no matter what you're doing. Whether you're hitting the gym or just running errands around town, our sneakers are designed to provide maximum comfort and support. With a range of colors and styles to choose from, you're sure to find the perfect pair to fit your unique sense of style. So if you're ready to take your shoe game to the next level, lace up a pair of Nike Sneakers today! #JustDoIt","Experience the beauty of Rome on a weekend getaway! Discover historic landmarks like the Colosseum and Vatican City, indulge in delicious Italian cuisine, and take in the vibrant culture. Stay in a luxurious hotel and enjoy breathtaking views of the city. Book your unforgettable Roman holiday now!","Step into a world of boundless creativity and limitless adventure with our latest Nike sneaker. Designed for those who crave new experiences and a unique sense of style, this shoe is a must-have for any artistic soul. With its sleek design, innovative features, and superb comfort, it's the perfect companion for all your urban explorations and creative pursuits. Whether you're hitting the streets or the stage, this shoe will keep you inspired and on the move. So why wait? Embrace the unknown and unleash your artistry with this one-of-a-kind Nike sneaker.","Discover the magic of Rome this weekend! Immerse yourself in the culture and history of this stunning city, from the ancient Roman ruins to the world-renowned art museums. Explore the vibrant neighborhoods, indulge in delicious Italian cuisine, and take in the breathtaking views from the top of the city's iconic hills. With endless opportunities for adventure and excitement, there's no better place for an open-minded and curious traveler to experience the wonders of the world. Book your Roman holiday today and see where your journey takes you!",Generic|Personality,PersonalitySneakers|GenericSneakers,ce0c7b232b968aaddcc918f95b588ec9
